siruta,lhdi_2018_pred
105222.0,31.9
125677.0,39.6
113929.0,27.6
72409.0,72.7
105712.0,40.6
104635.0,41.0
127689.0,27.6
70094.0,67.4
17398.0,37.5
125873.0,47.4
104485.0,46.7
73772.0,38.0
103407.0,53.8
125374.0,71.4
93281.0,46.2
111417.0,30.0
74242.0,23.4
154665.0,23.8
127812.0,50.4
70968.0,21.6060387669
72604.0,17.2583143321
93931.0,38.8
94731.0,39.7
94768.0,37.1
110535.0,31.5
130302.0,36.7
128052.0,38.3
111863.0,55.9
127064.0,44.9
127322.0,46.5
112548.0,34.0
20048.0,37.4
71910.0,33.0
70174.0,59.3
104831.0,54.0
102348.0,37.0
101190.0,61.8
15064.0,35.2
130295.0,38.4
101163.0,73.0
153696.0,37.2
71723.0,16.3
74875.0,34.6
104341.0,36.9
70566.0,52.1
72819.0,24.7
130286.0,43.0
14450.0,43.2
74073.0,35.3
94492.0,51.0
110232.0,48.0
112806.0,20.3
92701.0,59.2
128374.0,54.0
19114.0,42.9
128221.0,55.4
74171.0,23.2
126326.0,33.4
126433.0,45.9
127625.0,31.4
93539.0,38.6
105455.0,34.0
68887.0,23.0
72677.0,49.5
103032.0,58.1
105972.0,39.7
93851.0,44.7
179775.0,68.1
113153.0,26.4631843651
102794.0,59.0
105623.0,51.1
16613.0,42.1
103087.0,38.3
70744.0,22.6
129139.0,36.4
126166.0,44.2
111480.0,35.3
19560.0,31.1
71055.0,53.1
18741.0,45.6
170612.0,40.2
92989.0,40.9
110946.0,39.3
179793.0,34.6
130366.0,41.4
101083.0,64.9
94223.0,48.4
92783.0,32.3
68431.0,45.3
129380.0,39.8
17575.0,48.6
127171.0,41.0
103764.0,13.6
73102.0,57.0
169583.0,56.4
111916.0,29.6
127901.0,34.1
102641.0,43.5684819221
112600.0,29.0
100576.0,69.9
105142.0,51.5
68468.0,50.9
70414.0,52.9
18938.0,46.1
112076.0,35.1
174218.0,59.7
69330.0,40.3
127858.0,37.2
68342.0,33.3
94535.0,47.5
179828.0,51.1
73371.0,41.5
174502.0,41.5
173748.0,52.8
92872.0,43.0
173793.0,42.3
67906.0,54.4
170952.0,38.0
101840.0,45.1
94376.0,36.2
100923.0,26.8
180000.0,35.7
67121.0,41.0
94161.0,41.3
104270.0,45.3
80560.0,42.7
126228.0,40.3
19212.0,36.2
82680.0,52.4
113974.0,21.1
129317.0,37.0972308899
68253.0,26.7
167981.0,63.9
101056.0,27.4
129816.0,39.1
68128.0,36.3
93628.0,40.5
173597.0,58.6
110116.0,44.3
65752.0,38.8
168452.0,52.2
66768.0,42.8
92836.0,62.1
171209.0,42.9
79237.0,46.2
93021.0,47.2
68627.0,57.0
101564.0,47.3
93067.0,51.4
93600.0,46.3
82314.0,48.4
102749.0,49.7
179819.0,50.3
94795.0,41.1
68529.0,45.5
112129.0,18.4
103862.0,40.4
94456.0,47.2
128301.0,36.2
111275.0,33.7
169306.0,50.9
66697.0,27.7
16944.0,43.2
